ID_Yac;Nivel;Fase;Corte;UE;Nivel2;Fase2;Cuadro;Capa;Muestra.Botanico;BP;Sd_short;Id_short;Muestra;MuestraEspecie;Agg;Método
Mas_dIs;;VIb;Cabaña2;80205;;;;;;6600;40;Beta-166727;Semilla-Fruto;Hordeum vulgare;NO;
Mas_dIs;;VIb;Cabaña2;80219;;;;Superior;;6600;50;Beta-162092;Semilla-Fruto;Hordeum sp.;NO;
Castillejos;I;;6;;01-jun;1;;;;6310;45;Ua-36215;Semilla-Fruto;Cereal sp.;NO;SN
Castillejos;I;;6;;01-jun;2;;;;6120;40;Ua-36213;Semilla-Fruto;Cereal sp.;NO;SN
Castillejos;I;;6;;01-jun;3;;;;6260;45;Ua-36214;Semilla-Fruto;Cereal sp.;NO;SN
Castillejos;I;;6;;01-jun;5;;;;6140;45;Ua-37844;Semilla-Fruto;Cereal sp.;NO;SN
Castillejos;I;;6;;01-jun;5;;;;5400;45;Ua-36211;Semilla-Fruto;Cereal sp.;NO;SN
Fal;VII;;;2051b;;VI;;;;6510;80;BETA-142289;Semilla-Fruto;Triticum monococcum;NO;AMS
Chaves;;Ia;;;;;;;;6230;45;GrA-26912 ;Humano;Human;NO;AMS
Chaves;;Ib;;;;;;;;6380;40;GrA-28341;Semilla-Fruto;Bellota;NO;AMS
Chaves;;Ib;;;;;;;;6470;25;UCIAMS-66317;Animal;Ovis aries;NO;AMS
Chaves;;Ib;;;;;;;;6580;35;GrA-38022;Animal;Ovis aries;NO;AMS
Guixeres;;A;Ambito1;;;;G49;;;6655;45;OxA-26068;Animal;Ovis/Capra;NO;SN
Guixeres;;A;Ambito2;;;;K32;;;6458;38;OxA-26069;Animal;Ovis aries;NO;SN
Benàmer;;II;Sector1;1017;;;;;;6575;50;CNA-539;Semilla-Fruto;Polen;NO;SN
Nerja;NM10;;Mina;NM10;;;;;;6342;37;OxA-26085;Animal;Ovis/Capra;NO;AMS
Nerja;NV2;;Vestíbulo;NV2;;;;;;6185;21;MAMS-20437;Animal;Ovis/Capra;NO;AMS
Draga;;ABC;SectorB;;II;Evento 8b. Uso;JH86;;;6163;31;OxA-20231;Semilla-Fruto;Cereal sp.;NO;AMS
Draga;;ABC;SectorB;;II;Evento 8b. Uso;JH84-85;;;6121;33;OxA-20232;Semilla-Fruto;Cereal sp.;NO;AMS
Draga;;ABC;SectorA;;II-IIIb;Evento 9. Segunda ocupación;B-21;;;6179;33;OxA-20233;Semilla-Fruto;Cereal sp.;NO;AMS
Draga;;ABC;SectorA;fogarE-5;I;Evento 12. Segunda ocupación;;;;6127;33;OxA-20234;Semilla-Fruto;Cereal sp.;NO;AMS
Draga;;ABC;SectorA;fogarE-21;I;Evento 10. Segunda ocupación;;;;6143;33;OxA-20235;Semilla-Fruto;Cereal sp.;NO;AMS
Sant_Pau;Silo1;;;Silo1;IV base;;;;;6290;50;Beta-236174;Animal;SN;NO;AMS
