ID_Geo;ID_Yac;Fase;Corte;Nivel;UE;Cuadro;Capa;Muestra.Botanico;Nivel2;Fase2;Shape;Symmetry;Form;Retouch;Direction;Type;Nivel_Integridad
3250;Valmayor;;;III;;;;;;;Se;S;Cv;A;Db;SeSCvADb;4
3251;Valmayor;;;III;;;;;;;Se;S;Cv;A;Db;SeSCvADb;4
3252;Valmayor;;;III;;;;;;;Tri;S;R;A;Db;TriSRADb;4
3253;Valmayor;;;III;;;;;;;Se;S;Cv;A;Db;SeSCvADb;4
3254;Valmayor;;;III;;;;;;;Se;S;Cv;A;Db;SeSCvADb;4
3255;Chaves;Ia;;;;;;;;;Se;S;Cv;S;Db;SeSCvSDb;4
3256;Chaves;Ia;;;;;;;;;Se;S;Cv;S;Db;SeSCvSDb;4
3257;Chaves;Ia;;;;;;;;;Se;S;Cv;S;Db;SeSCvSDb;4
3258;Chaves;Ia;;;;;;;;;Se;S;Cv;S;Db;SeSCvSDb;4
3259;Chaves;Ia;;;;;;;;;Se;As;Cv;AS;B;SeAsCvASB;4
3260;Chaves;Ia;;;;;;;;;Se;S;Cv;AS;B;SeSCvASB;4
3263;Draga;ABC;SectoresABC;;;;;;;;Tra;S;R;A;Al;TraSRAAl;4
3264;Draga;ABC;SectoresABC;;;;;;;;Tra;As;R;A;Al;TraAsRAAl;4
3265;Draga;ABC;SectoresABC;;;;;;;;Tra;S;R;A;B;TraSRAB;4
3266;Draga;ABC;SectoresABC;;;;;;;;Tra;S;R;A;D;TraSRAD;4
3267;Draga;ABC;SectoresABC;;;;;;;;Tra;S;R;A;Db;TraSRADb;4
3268;Draga;ABC;SectoresABC;;;;;;;;Tra;As;RCc;A;Db;TraAsRCcADb;4
3269;Draga;ABC;SectoresABC;;;;;;;;Tra;S;R;A;D;TraSRAD;4
3270;Draga;ABC;SectoresABC;;;;;;;;Tra;As;R;A;Al;TraAsRAAl;4
3271;Draga;ABC;SectoresABC;;;;;;;;Tra;S;RCc;A;B;TraSRCcAB;4
3272;Draga;ABC;SectoresABC;;;;;;;;Tra;As;RCc;A;B;TraAsRCcAB;4
3273;Draga;ABC;SectoresABC;;;;;;;;Tra;S;RCc;A;Al;TraSRCcAAl;4
3276;Draga;ABC;SectoresABC;;;;;;;;Se;S;Cv;A;B;SeSCvAB;4
3280;Guixeres;C;;;;;;;;;Tra;S;Cc;A;D;TraSCcAD;
3281;Guixeres;C;;;;;;;;;Sq;S;R;A;Al;SqSRAAl;
3282;Guixeres;B;;;;;;;;;Se;S;Cv;A;B;SeSCvAB;
3288;Fem;;Secció 1;103;103;G13;;;;Antic Cardial;Se;S;Cv;A;D;SeSCvAD;
3289;Fem;;Secció 1;103;103;G13;;;;Antic Cardial;Tri;S;RCc;A;Db;TriSRCcADb;
3290;Fem;;Secció 1;103;103;G13;;;;Antic Cardial;Tri;S;Cc;A;Db;TriSCcADb;
3291;Fem;;Secció 1;103;103;G13;;;;Antic Cardial;Tri;As;RCv;A;B;TriAsRCvAB;
3306;Cremat;;;III;;;;;;;Se;S;Cv;A;Db;SeSCvADb;
